TRACK,LABEL,METHOD,CURVE
40,feature.Yield.unmanaged.Total,,56
41,feature.Area.og1.IDF_PL_L,,37
41,feature.Area.og1.total,,37
41,feature.Area.og2.IDF_PL_L,,1
41,feature.Area.og2.total,,1
41,feature.Area.unmanaged,,2
41,feature.Yield.unmanaged.Total,,57
42,feature.Area.og1.IDF_FDI_H,,11
42,feature.Area.og1.total,,11
42,feature.Area.og2.IDF_FDI_H,,1
42,feature.Area.og2.total,,1
42,feature.Area.unmanaged,,2
42,feature.Yield.unmanaged.Total,,58
43,feature.Area.managed,,2
43,feature.Area.og1.IDF_FDI_H,,11
43,feature.Area.og1.total,,11
43,feature.Area.og2.IDF_FDI_H,,1
43,feature.Area.og2.total,,1
43,feature.Yield.managed.Total,,59
44,feature.Area.og1.SBPS_PL_H,,52
44,feature.Area.og1.total,,52
44,feature.Area.og2.SBPS_PL_H,,1
44,feature.Area.og2.total,,1
44,feature.Area.unmanaged,,2
44,feature.Yield.unmanaged.Total,,61
45,feature.Area.og1.SBPS_SX_H,,23
45,feature.Area.og1.total,,23
45,feature.Area.og2.SBPS_SX_H,,1
45,feature.Area.og2.total,,1
45,feature.Area.unmanaged,,2
45,feature.Yield.unmanaged.Total,,62
46,feature.Area.managed,,9
46,feature.Area.og1.SBPS_SX_H,,63
46,feature.Area.og1.total,,63
46,feature.Area.og2.SBPS_SX_H,,8
46,feature.Area.og2.total,,8
46,feature.Yield.managed.Total,,64
47,feature.Area.managed,,9
47,feature.Area.og1.SBPS_SX_H,,63
47,feature.Area.og1.total,,63
47,feature.Area.og2.SBPS_SX_H,,8
47,feature.Area.og2.total,,8
47,feature.Yield.managed.Total,,64
48,feature.Area.og1.IDF_FDI_L,,67
48,feature.Area.og1.total,,67
48,feature.Area.og2.IDF_FDI_L,,8
48,feature.Area.og2.total,,8
48,feature.Area.unmanaged,,9
48,feature.Yield.unmanaged.Total,,68
49,feature.Area.managed,,2
49,feature.Area.og1.IDF_FDI_L,,18
49,feature.Area.og1.total,,18
49,feature.Area.og2.IDF_FDI_L,,1
49,feature.Area.og2.total,,1
49,feature.Yield.managed.Total,,69
50,feature.Area.og1.IDF_FD_M,,0
50,feature.Area.og1.total,,0
50,feature.Area.og2.IDF_FD_M,,1
50,feature.Area.og2.total,,1
50,feature.Area.unmanaged,,2
50,feature.Yield.unmanaged.Total,,71
51,feature.Area.og1.IDF_PLI_L,,72
51,feature.Area.og1.total,,72
51,feature.Area.og2.IDF_PLI_L,,1
51,feature.Area.og2.total,,1
51,feature.Area.unmanaged,,2
51,feature.Yield.unmanaged.Total,,73
52,feature.Area.managed,,2
52,feature.Area.og1.IDF_PLI_L,,72
52,feature.Area.og1.total,,72
52,feature.Area.og2.IDF_PLI_L,,1
52,feature.Area.og2.total,,1
52,feature.Yield.managed.Total,,74
53,feature.Area.og1.IDF_PLI_M,,76
53,feature.Area.og1.total,,76
53,feature.Area.og2.IDF_PLI_M,,1
53,feature.Area.og2.total,,1
53,feature.Area.unmanaged,,2
53,feature.Yield.unmanaged.Total,,77
54,feature.Area.managed,,2
54,feature.Area.og1.IDF_PLI_M,,76
54,feature.Area.og1.total,,76
54,feature.Area.og2.IDF_PLI_M,,1
54,feature.Area.og2.total,,1
54,feature.Yield.managed.Total,,78
55,feature.Area.og1.IDF_FD_L,,18
55,feature.Area.og1.total,,18
55,feature.Area.og2.IDF_FD_L,,1
55,feature.Area.og2.total,,1
55,feature.Area.unmanaged,,2
55,feature.Yield.unmanaged.Total,,81
56,feature.Area.og1.IDF_PLI_H,,27
56,feature.Area.og1.total,,27
56,feature.Area.og2.IDF_PLI_H,,1
56,feature.Area.og2.total,,1
56,feature.Area.unmanaged,,2
56,feature.Yield.unmanaged.Total,,82
57,feature.Area.managed,,2
