AU,managed_curve_id,stratum_code,si_level,source_bec,source_leading_species,treated_si_baseline_est,treated_si_final,official_tsr_table40_au,official_tsr_match_status,official_tsr_no_match_reason,matched_tipsy_rule_id,hits_tsa29_catchall,treated_regen_method,treated_regen_delay,treated_density,treated_oaf1,treated_oaf2,treated_gw_1,treated_gw_age_1,treated_util_dbh_cm,treated_species_mix_1,treated_species_mix_2,treated_species_mix_3,treated_species_mix_4,treated_species_mix_5
22013,2922013,SBS_FDI,M,SBS,FDI,16.4,18.4,fd_allg,fd_allg,,tsa29_all_aus_catchall,True,P,1,1400,0.88,0.95,,,17.5,FDI:100,,,,
22014,2922014,ESSF_PLI,M,ESSF,PLI,9.8,11.8,,NO_MATCH,leading species PLI only official in MS or SBS; source BEC=ESSF,tsa29_all_aus_catchall,True,P,1,1400,1.0,0.95,,,17.5,PLI:100,,,,
22015,2922015,ICH_SX,M,ICH,SX,17.1,19.1,,NO_MATCH,leading species SX only official in MS or SBS; source BEC=ICH,tsa29_all_aus_catchall,True,P,1,1400,0.77,0.95,,,17.5,SW:100,,,,
22016,2922016,ICH_CW,M,ICH,CW,12.0,14.0,cw_allm,cw_allm,,tsa29_all_aus_catchall,True,P,1,1400,0.79,0.95,,,17.5,HW:100,,,,
22017,2922017,SBS_SX,M,SBS,SX,20.0,22.0,sx_sbsg,sx_sbsg,,tsa29_all_aus_catchall,True,P,1,1400,0.85,0.95,,,17.5,SW:100,,,,
23000,2923000,SBPS_PLI,H,SBPS,PLI,9.0,11.0,,NO_MATCH,leading species PLI only official in MS or SBS; source BEC=SBPS,tsa29_pine_poor_sbps,False,P,1,1400,0.85,0.95,,,17.5,PLI:100,,,,
23001,2923001,MS_PLI,H,MS,PLI,10.1,12.1,pl_msm,pl_msm,,tsa29_pine_ms_sbps_idf,False,P,2,1133,0.66,0.95,3.0,12.0,12.5,PL:79,SW:10,FD:8,BL:3,
23002,2923002,IDF_FD,H,IDF,FD,15.0,17.0,fd_allg,fd_allg,,tsa29_fir_idf,False,P,2,1139,0.7,0.95,9.0,12.0,17.5,PLI:41,FD:41,SW:15,BL:3,
23003,2923003,IDF_FDI,H,IDF,FDI,14.899999999999999,16.9,fd_allm,fd_allm,,tsa29_fir_idf,False,P,2,1139,0.75,0.95,9.0,12.0,17.5,PLI:41,FD:41,SW:15,BL:3,
23004,2923004,MS_PL,H,MS,PL,11.6,13.6,pl_msm,pl_msm,,tsa29_pine_ms_sbps_idf,False,P,2,1133,0.69,0.95,3.0,12.0,12.5,PL:79,SW:10,FD:8,BL:3,
23005,2923005,SBPS_PL,H,SBPS,PL,13.8,15.8,,NO_MATCH,leading species PL only official in MS or SBS; source BEC=SBPS,tsa29_pine_poor_sbps,False,P,1,1400,0.74,0.95,,,17.5,PL:100,,,,
23006,2923006,ESSF_BL,H,ESSF,BL,11.2,13.2,bl_alla,bl_alla,,tsa29_balsam_essf,False,P,2,1173,0.71,0.95,6.6,12.0,17.5,BL:57,SE:32,SW:9,FD:2,
23007,2923007,ESSF_PL,H,ESSF,PL,12.6,14.6,,NO_MATCH,leading species PL only official in MS or SBS; source BEC=ESSF,tsa29_all_aus_catchall,True,P,1,1400,0.75,0.95,,,17.5,PL:100,,,,
23008,2923008,IDF_PL,H,IDF,PL,14.2,16.2,,NO_MATCH,leading species PL only official in MS or SBS; source BEC=IDF,tsa29_pine_ms_sbps_idf,False,P,2,1133,0.75,0.95,3.0,12.0,12.5,PL:79,SW:10,FD:8,BL:3,
23009,2923009,ESSF_SE,H,ESSF,SE,7.800000000000001,9.8,,NO_MATCH,leading species SE only official in MS or SBS; source BEC=ESSF,tsa29_spruce_essf,False,P,2,1255,0.85,0.95,12.8,12.0,17.5,SE:58,PL:28,BL:8,FD:6,
23010,2923010,SBPS_SX,H,SBPS,SX,14.7,16.7,,NO_MATCH,leading species SX only official in MS or SBS; source BEC=SBPS,tsa29_all_aus_catchall,True,P,1,1400,0.85,0.95,,,17.5,SW:100,,,,
23011,2923011,IDF_PLI,H,IDF,PLI,13.9,15.9,,NO_MATCH,leading species PLI only official in MS or SBS; source BEC=IDF,tsa29_pine_ms_sbps_idf,False,P,2,1133,0.69,0.95,3.0,12.0,12.5,PL:79,SW:10,FD:8,BL:3,
23012,2923012,ICH_FD,H,ICH,FD,20.4,22.4,fd_allg,fd_allg,,tsa29_all_aus_catchall,True,P,1,1400,0.88,0.95,,,17.5,FD:100,,,,
23013,2923013,SBS_FDI,H,SBS,FDI,19.2,21.2,fd_allg,fd_allg,,tsa29_all_aus_catchall,True,P,1,1400,0.85,0.95,,,17.5,FD:100,,,,
23014,2923014,ESSF_PLI,H,ESSF,PLI,9.8,11.8,,NO_MATCH,leading species PLI only official in MS or SBS; source BEC=ESSF,tsa29_all_aus_catchall,True,P,1,1400,0.85,0.95,,,17.5,PLI:100,,,,
23015,2923015,ICH_SX,H,ICH,SX,21.7,23.7,,NO_MATCH,leading species SX only official in MS or SBS; source BEC=ICH,tsa29_all_aus_catchall,True,P,1,1400,0.84,0.95,,,17.5,SW:100,,,,
23016,2923016,ICH_CW,H,ICH,CW,16.3,18.3,cw_allg,cw_allg,,tsa29_all_aus_catchall,True,P,1,1400,0.85,0.95,,,17.5,HW:100,,,,
23017,2923017,SBS_SX,H,SBS,SX,19.6,21.6,sx_sbsg,sx_sbsg,,tsa29_all_aus_catchall,True,P,1,1400,0.78,0.95,,,17.5,SW:100,,,,
